case_id,category,symptom_description,query,rank,title,abstract,conditions,overall_status,article_url,automatic_relevance_0_to_2,latency_seconds
003,Common acute symptoms,I feel nauseous and I have been vomiting today.,nausea vomiting,1,A Randomized Single-blind Clinical Trial of the Efficacy and Safety of Remimazolam in Painless Bronchoscopy,"Over the past decade, bronchoscopy technology has developed rapidly and has become an important part of the diagnosis and treatment of respiratory diseases. Bronchoscopy are usually carried out under monitored anesthesia care (MAC), which can relieve the anxiety of the patient, make the operation easier, and improve the completion rate of bronchoscopy. At present, bronchoscopy has widely used midazolam, propofol, short-acting opioids, and newer sedatives such as dexmedetomidine, but each drug has its limitations. Dexmedetomidine is widely used in non-intubation general anesthesia and sedation during short outpatient surgery. However, rapid and high-dose infusion of dexmedetomidine leads to dose-dependent hypotension, temporary hypertension, bradycardia, and excessive sedation, causing hemodynamic fluctuations. At the same time, it has slow onset and metabolism. This may be a potential risk for some elderly patients with many underlying diseases and unstable hemodynamics. Remimazolam is an ultra-short-acting benzodiazepine. It has the advantages of short action time, low accumulation, low risk of respiratory depression, and reversibility. We believe that remimazolam can improve the onset time and resuscitation time, to achieve sufficient sedation, improve the success rate of bronchoscopy, while reducing the patient's oxygen saturation drop during the operation, postoperative opioid-related nausea and vomiting, postoperative delirium and other related adverse events. This study is a randomized controlled trial to confirm the above hypothesis.",Bronchoscopy; Sedation,UNKNOWN,https://clinicaltrials.gov/study/NCT04919174,2,0.7482
003,Common acute symptoms,I feel nauseous and I have been vomiting today.,nausea vomiting,2,Community-Led Action Research in Oncology: Improving Symptom Management,"This study will be conducted at La Liga Contra el Cancer in San Pedro Sula, Honduras. The overall objective of this project is to improve symptom management for patients undergoing chemotherapy in Honduras. The first step in this line of research is a ""proof of concept"" feasibility study in which the investigators will demonstrate their ability to train nurses to administer a non-pharmacological, telephone-delivered, symptom management program for chemotherapy patients.",Chemotherapy-induced Neutropenia; Chemotherapy-induced Nausea and Vomiting; Anxiety; Depression; Fatigue; Neoplasms,COMPLETED,https://clinicaltrials.gov/study/NCT03208816,2,0.7482
003,Common acute symptoms,I feel nauseous and I have been vomiting today.,nausea vomiting,3,The Effect of Guided Imagery and Diaphragmatic Breathing Exercise in Pregnant Women With Hyperemesis Gravidarum,"Objective: The aim of the researchers is to determine the effects of guided imagery and diaphragmatic breathing exercise application on nausea, vomiting severity, and anxiety level in pregnant with hyperemesis gravidarum.

Methods: This study was planned as a single-blind randomized controlled experimental study. It is planned to be conducted with 180 pregnant women to be randomized in a university hospital in Southeastern Anatolia between April 2023 and August 2023. Data will be collected using the ""Descriptive Information Form"", ""Nausea-Vomiting Severity Assessment Test During Pregnancy"" and ""Pregnancy-Related Anxiety Scale-R2"".

Keywords: Anxiety, Hyperemesis Gravidarum, Nausea-Vomiting, Guided Imagery, Diaphragmatic Breathing Exercise, Nursing,",Hyperemesis Gravidarum,UNKNOWN,https://clinicaltrials.gov/study/NCT05829473,2,0.7482
003,Common acute symptoms,I feel nauseous and I have been vomiting today.,nausea vomiting,4,Gastric Volumes by US in Term Parturients Undergoing CS With and Without Metoclopramide,"Our objective is to compare gastric volumes (mL) between women who receive metoclopramide versus placebo prior to scheduled cesarean delivery in appropriately fasted patients. If metoclopramide is found not to reduce gastric volumes this would inform future practice guidelines for obstetric anesthesia, which currently recommends metoclopramide administration prior to cesarean deliveries.

We hypothesize that metoclopramide given to women with appropriate fasting prior to cesarean delivery does not result in any clinically significant reduction in gastric volume (mL) and therefore does not provide any additional benefit for aspiration prophylaxis but may expose patients to unnecessary side effects. A secondary objective will be to evaluate if gastric volume is a significant predictor of intraoperative nausea and vomiting.",Pregnancy; Cesarean Section; Aspiration,COMPLETED,https://clinicaltrials.gov/study/NCT05033041,2,0.7482
003,Common acute symptoms,I feel nauseous and I have been vomiting today.,nausea vomiting,5,Pragmatic Research eXamining Inpatient Symptoms,"Many hospitalized patients experience pain during their hospital stay, and less than half report adequate pain relief. Common treatments for pain include opioid medications, which have associated side effects and complications. Research has shown that acupuncture is effective for surgical, postoperative and cancer-related pain, nausea, and vomiting. More research is needed on the effectiveness of adding acupuncture to routine care for hospitalized patients. The objective of this study is to examine the effectiveness of acupuncture delivered in a ""real-world"" setting according to the principles of traditional Chinese medicine among hospitalized patients to manage pain and other symptoms. 250 hospitalized participants will be randomized in a 1 to 1 ratio to receive either 1) usual care or 2) usual care with acupuncture offered (125 in each group). The primary outcome measure will be change in daily pain intensity. Data on other symptoms, such as nausea, vomiting, anxiety, and depression, as well as functionality and quality of life will be collected in person, on a web-based survey, or via telephone follow-up. The aims of the study are to examine the effectiveness of acupuncture to manage pain and other symptoms among hospitalized patients; to evaluate the impact of acupuncture on patient satisfaction among hospitalized patients; and to estimate costs and cost-effectiveness of acupuncture among a subset of hospitalized patients.

The investigators hypothesize that compared to hospitalized patients receiving usual care alone, hospitalized patients receiving acupuncture will have:

1. decreased pain severity
2. higher patient satisfaction",Postoperative Pain; Nausea; Vomiting; Anxiety; Depression,COMPLETED,https://clinicaltrials.gov/study/NCT01988194,2,0.7482
004,Common acute symptoms,I have stomach pain with nausea.,abdominal pain nausea,1,TAPB Combined With RSB Versus ESPB for Postoperative Analgesia After Laparoscopic Liver Resection,"Postoperative pain after laparoscopic hepatectomy is composed of multiple factors, and the peak pain of postoperative pain mainly occurs within the first 24 hours, so it is particularly important to find an appropriate analgesic method. Transversus abdominis plane block (TAPB) and Rectus sheath blocks (RSB) are widely used in abdominal surgery, but too deep a needle tip during RSB may puncture abdominal organs. TAPB and RSB can only provide somatic analgesia, but lack visceral analgesia. Recently, Erector spinae plane block (ESPB) has been used in some studies for analgesia after abdominal surgery. The purpose of this study is to compare the analgesic effect and postoperative recovery effect of erector spinae plane block and transverse abdominis plane block combined with rectus sheath block in patients undergoing laparoscopic hepatectomy. Therefore, this study has important clinical implications.",Laparoscopic Hepatectomy; Nerve Block,UNKNOWN,https://clinicaltrials.gov/study/NCT06133725,1,0.6668
004,Common acute symptoms,I have stomach pain with nausea.,abdominal pain nausea,2,Capsaicin Cream as an Adjunctive Therapy for Nausea and Vomiting of Pregnancy,"Between fifty and eighty percent of pregnant women experience nausea and vomiting in pregnancy making it one of the most common medical complications of pregnancy. Hyperemesis gravidarum is an extreme form of nausea and vomiting of pregnancy and results in evidence of acute starvation (i.e. large ketonuria), and weight loss (\>5% of a woman's pre-pregnancy weight). Hyperemesis gravidarum is also surprisingly common. In fact, it is the second leading cause of preterm hospitalization during pregnancy, second only preterm labor. Hospitalization is often required because hyperemesis is frequently refractory to common anti-nausea medications. However, capsaicin cream, a potent TRPV1 agonist, commonly used to relieve muscular and neuropathic pain, may be able to reduce the symptoms of nausea and emesis in patients with nausea and vomiting of pregnancy. Smaller studies have demonstrated capsaicin to be both safe and effective when used to treat intraoperative nausea during cesarean delivery. To begin to address whether capsaicin cream could be used to reduce preterm admissions and shorten emergency room visits for hyperemesis, this study will randomize women presenting to the emergency room for nausea and vomiting to treatment with capsaicin cream as an adjunctive medication or routine care. The project will investigate the impact of capsaicin cream on hospital length of stay as well as representation for additional treatment. If effective, capsaicin cream has the potential not only to reduce emergency room visits, hospital admissions and overall health care costs, but also to drastically improve patient quality of life.",Hyperemesis Gravidarum; Nausea Gravidarum; Vomiting of Pregnancy,COMPLETED,https://clinicaltrials.gov/study/NCT05098067,2,0.6668
004,Common acute symptoms,I have stomach pain with nausea.,abdominal pain nausea,3,Prevalence of Preoperative Dehydration in Major Elective Urologic Surgery and Its Impact on Postoperative Outcome,The primary objective of this study is to measure the prevalence of preoperative dehydration in elective major abdominal urologic surgery when we apply our daily standard operation procedures. Secondary objectives are to assess the impact of preoperative dehydration on postoperative outcome. The hypothesis is that preoperative dehydration leads to more postoperative complications.,Dehydration; Postoperative Nausea and Vomiting; Postoperative Complications,TERMINATED,https://clinicaltrials.gov/study/NCT03788070,2,0.6668
004,Common acute symptoms,I have stomach pain with nausea.,abdominal pain nausea,4,"Effect of FODMAP Diet on Pain, Quality of Life, and Sexual Function in Women With Pelvic Endometriosis and Gastrointestinal Symptoms","The main objective of the study is to assess whether a dietary regimen based on the principles of the FODMAP diet, compared with the current treatment programme which does not include specific dietary recommendations, can improve pain symptoms in patients with symptomatic endometriosis and intestinal symptoms (i.e. bloating, nausea, constipation, diarrhoea and vomiting) attributable to irritable bowel syndrome, compared with a control group",Endometriosis,RECRUITING,https://clinicaltrials.gov/study/NCT07590895,2,0.6668
004,Common acute symptoms,I have stomach pain with nausea.,abdominal pain nausea,5,Trial of Acupuncture for Reduction of Post-Colectomy Ileus,The purpose of this study is to see whether acupuncture may help patients recover from colon cancer surgery.,"Postoperative Ileus; Colon Cancer; Pain, Postoperative; Postoperative Nausea and Vomiting",COMPLETED,https://clinicaltrials.gov/study/NCT00402961,2,0.6668
005,Common acute symptoms,I woke up with headache and body pain.,headache joint pain,1,Immediate Effects of Suboccipital Muscle Release Combined With Sustained Natural Apophyseal Glides in Patients With Chronic Tension Type Headache,"Headache disorder characterized by recurrent headache are among the most common disoredrs of the nervous system. Tension type headache is widely recognized kind of headache that affects 80% of the individuals. Its underlying cause has not been clearly distinguished. It is managed both pharmacology and non-pharmacology which includes dry needling, acupuncture, manual techniques and massage. Several studies conducted which showed that both the soft tissue muscle inhibition and joint mobilization techniques are effective in decreasing pain. But there is lack of evidence which shows combined effects of soft tissue muscle inhibition and sustained natural apophyseal glides(SNAGS) in chronic tension type headache. so this study will compare the effects of soft tissue muscle release and SNAGS on pain intensity and cervical range of motion.",Tension-Type Headache,UNKNOWN,https://clinicaltrials.gov/study/NCT05883813,2,0.722
005,Common acute symptoms,I woke up with headache and body pain.,headache joint pain,2,Marine Lipids Ease Painful TMD,"The ADAPT study is a single-site, Phase 2b, randomized, quadruple-masked, placebo-controlled trial evaluating an omega-3 dietary supplement enriched with specialized pro-resolving mediator (SPM) precursors in adults with chronic temporomandibular disorder (TMD) pain. The trial will enroll 100 adults aged 18 years or older with examiner-confirmed TMD myalgia or arthralgia will be enrolled at the University of North Carolina at Chapel Hill, Adams School of Dentistry.

Participants are randomized 1:1 to receive either the SPM precursor supplement or a matched placebo daily for 8 weeks. Randomization is stratified by sex, and study agents are identical in appearance to maintain masking.

The study aims to evaluate whether the SPM precursor supplement:

Reduces facial pain intensity compared with placebo.

Changes pressure pain sensitivity at the jaw and other standard body sites.

Affects other aspects of chronic pain, including duration, interference with daily activities, headache burden, anxiety, depression, jaw-related quality of life, and overall patient-reported change.

Participants will record their daily facial pain intensity in electronic diaries, complete short questionnaires at baseline, Week 4, and Week 8, and undergo experimental pain testing with a handheld algometer at baseline, Week 4, and Week 8. Safety is monitored through the documentation of all adverse events throughout the study period.",Temporomandibular Disorder (TMD),NOT_YET_RECRUITING,https://clinicaltrials.gov/study/NCT07437313,2,0.722
005,Common acute symptoms,I woke up with headache and body pain.,headache joint pain,3,Traditional Chinese Cervical Manipulation for Cervicogenic Headache,"Background Cervical spondylosis is a prevalent condition. Studies has shown that it is a leading cause for headache, which is termed cervicogenic headache (CGH). The prevlance of CGH among severe headache is 17.5%. While conventional treatments, such as physical therapy and surgery, is effective in controlling symptoms, the effect was found to be short-lasting. There is existing clinical evidence supporting traditional Chinese cervical manipulation (CCM) as a viable treatment for CGH.

Objective To preliminarily assess the feasibility, safety, and effectiveness of CCM on patients with CGH, and to optimize parameters for a future large-scale trial.

Method This study is a pilot randomized, controlled, single-blind trial. 84 participants will be randomized evenly to receive either CCM or sham manipulation for 4 weeks. Outcome measurements will be conducted at baseline, week 2, week 4 and week 8 on cervical functional disability, cervical range of motion, and data on headache onset and painkiller assumption. Adverse events will be recorded using the Common Terminology Criteria for Adverse Events (CTCAE).",Cervicogenic Headache,ACTIVE_NOT_RECRUITING,https://clinicaltrials.gov/study/NCT06434051,2,0.722
005,Common acute symptoms,I woke up with headache and body pain.,headache joint pain,4,"The Effect of Aromatherapy With Thyme Oil on Disease Symptoms, Vital Signs, Hemodynamic Parameters in COVID-19 Patients","Coronavirus, which is a common infectious disease, is characterized by symptoms such as severe pain, cough, shortness of breath, dizziness, secretion, diarrhea, nausea-vomiting, weakness, runny nose, changes in sense of taste and smell, and loss of appetite. The use of thyme is common for this disease whose standard treatment is still being discussed. However, studies investigating the effectiveness of oregano oil are limited. These few studies in the literature have focused especially on the effects of thyme oil on Covid-19 symptoms. This work; It will be done to evaluate the effect of aromatherapy with thyme oil on Covid-19 symptoms, vital signs and hemodynamic parameters in Covid-19 patients. There is no study in the literature investigating the effects of all these variables.",Patient Engagement,COMPLETED,https://clinicaltrials.gov/study/NCT05197569,1,0.722
005,Common acute symptoms,I woke up with headache and body pain.,headache joint pain,5,Long COVID-19 Syndrome Lifestyle Intervention Study,"Rationale: Hyper-inflammatory responses seen in acute COVID-19 are also a feature of long covid, a condition of long-term consequences that are persisting or appearing after initial infection and recovery from acute COVID-19. Long-standing, often disabling symptoms are common in long covid and can be highly varied. Common symptoms include fatigue, brain fog, muscle and chest pain, migraines, shortness of breath, anosmia, muscle weakness, and cognitive dysfunction. 35% of post-COVID patients were found to have decreased kidney function at 6 months post-discharge. In this study, we will evaluate the effect of dietary interventions in long covid patients. The dietary interventions are aimed at lowering blood glucose levels, and raising blood BHB levels. The dietary plan will recommend a low-carbohydrate diet including the avoidance of foods containing sugars and starch, while simultaneously increasing the consumption of healthy fats and sources of protein. The dietary interventions are supported by the consumption of a medical food that delivers exogenous BHB in order to raise blood BHB levels without the necessity of adhering to a strict ketogenic diet which would be difficult to implement and typically requires strict medical supervision.

Intervention: Dietary intervention with Ketocitra versus control arm (no intervention) in a 1:1 ratio Objectives: The hypothesis of this study is that low-carbohydrate dietary interventions leading to lowering of blood glucose and raising of blood BHB in addition to standard therapy will lead to faster recovery and amelioration of symptoms in long covid compared to those treated with standard therapy alone.

Study population: Subjects with a history of COVID-19 at least 2 months ago and with at least 2 neurological and/or symptoms that are typical for long covid that either started at COVID-19 infection and are ongoing at time of study entry Study methodology: Prospective and interventional randomized controlled pilot study Study arms: Dietary intervention (including medical food) arm versus control arm Study endpoints: The primary endpoint is the feasibility, safety and tolerability of dietary intervention.",Long COVID-19 Syndrome,COMPLETED,https://clinicaltrials.gov/study/NCT05836402,1,0.722
006,Common acute symptoms,"I have a runny nose, cough, and mild fever.",runny nose cough fever,1,"The Effect of Aromatherapy With Thyme Oil on Disease Symptoms, Vital Signs, Hemodynamic Parameters in COVID-19 Patients","Coronavirus, which is a common infectious disease, is characterized by symptoms such as severe pain, cough, shortness of breath, dizziness, secretion, diarrhea, nausea-vomiting, weakness, runny nose, changes in sense of taste and smell, and loss of appetite. The use of thyme is common for this disease whose standard treatment is still being discussed. However, studies investigating the effectiveness of oregano oil are limited. These few studies in the literature have focused especially on the effects of thyme oil on Covid-19 symptoms. This work; It will be done to evaluate the effect of aromatherapy with thyme oil on Covid-19 symptoms, vital signs and hemodynamic parameters in Covid-19 patients. There is no study in the literature investigating the effects of all these variables.",Patient Engagement,COMPLETED,https://clinicaltrials.gov/study/NCT05197569,2,0.6627
006,Common acute symptoms,"I have a runny nose, cough, and mild fever.",runny nose cough fever,2,Impact Of A Health Care Protocol For Patients Suffering Symptoms Of Mild Acute Viral Bronchiolitis On Early Release In The Emergency Department,"Acute viral bronchiolitis is the principal cause of lower respiratory tract infection in infants worldwide. It is characterized by a first episode of respiratory distress preceded by rhinorrhea, cough and fever. The majority of patients present with mild symptoms which can be treated safely at home by parents. Every year between October thru April emergency departments in North America are overwhelmed with patients waiting to be seen with mild respiratory infections, such as bronchiolitis. Thus new strategies in health care have to be elaborated to reduce costs and waiting time in the emergency department.

The investigators hypothesize that patients liberated from triage with mild acute viral bronchiolitis would have the same rate of office re-visits than those with mild acute bronchiolitis in the emergency department.",Bronchiolitis,WITHDRAWN,https://clinicaltrials.gov/study/NCT01091064,2,0.6627
